"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"11","Cupido comyntas","eastern tailed-blue","Insecta","2022-08-22","Schoodic Institute",44.336174478,-68.0595185235,182,256926,"false","https://www.inaturalist.org/observations/131962458","https://inaturalist-open-data.s3.amazonaws.com/photos/224653000/medium.jpeg"
"12","Danaus plexippus","monarch","Insecta","2022-08-22","Parque Nacional Acadia, Bar Harbor, ME, US",44.3975977321,-68.2093139459,5,3045809,"false","https://www.inaturalist.org/observations/131905525","https://inaturalist-open-data.s3.amazonaws.com/photos/224544433/medium.jpg"
"13","Dissosteira carolina","carolina grasshopper","Insecta","2022-08-21","Southwest Harbor, ME 04679, USA",44.2255363958,-68.3182789385,16,427924,"false","https://www.inaturalist.org/observations/131835209","https://inaturalist-open-data.s3.amazonaws.com/photos/224414465/medium.jpeg"
"14","Dryobates villosus","hairy woodpecker","Aves","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,1552,2740046,"false","https://www.inaturalist.org/observations/132147390","https://inaturalist-open-data.s3.amazonaws.com/photos/224995562/medium.jpeg"
"15","Dryocampa rubicunda","rosy maple moth","Insecta","2022-08-18","Acadia National Park, Mount Desert, ME, US",44.3244583333,-68.2850583333,4,2183725,"false","https://www.inaturalist.org/observations/131403875","https://inaturalist-open-data.s3.amazonaws.com/photos/223614562/medium.jpg"
"16","Erechtites hieraciifolius","fireweed","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3361579722,-68.046873,NA,4465482,"false","https://www.inaturalist.org/observations/131825076","https://inaturalist-open-data.s3.amazonaws.com/photos/224394904/medium.jpeg"
"17","Fomitopsis betulina","birch polypore","Fungi","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, USA",44.3240714,-68.2956013,1552,2740046,"false","https://www.inaturalist.org/observations/132146786","https://inaturalist-open-data.s3.amazonaws.com/photos/224993825/medium.jpeg"
"18","Fucus vesiculosus","bladder wrack","Chromista","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3407283333,-68.0654971667,23,255732,"false","https://www.inaturalist.org/observations/131592202","https://inaturalist-open-data.s3.amazonaws.com/photos/223962324/medium.jpg"
"19","Ilex mucronata","mountain holly","Plantae","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3365928433,-68.0640501491,44,6045673,"false","https://www.inaturalist.org/observations/131592843","https://static.inaturalist.org/photos/223963690/medium.jpg"
"20","Juniperus communis","common juniper","Plantae","2022-08-20","Winter Harbor, ME 04693, USA",44.3321919722,-68.049879,NA,4465482,"false","https://www.inaturalist.org/observations/131823316","https://inaturalist-open-data.s3.amazonaws.com/photos/224391720/medium.jpeg"
"21","Lithobates clamitans","green frog","Amphibia","2022-08-22","Jordan Pond Path Trailhead",44.3229493207,-68.2537107915,177,3627576,"false","https://www.inaturalist.org/observations/131946189","https://inaturalist-open-data.s3.amazonaws.com/photos/224621867/medium.jpeg"
"22","Lithobates palustris","pickerel frog","Amphibia","2022-08-22","Norumbega Mountain, Mt Desert, ME 04660, United States",44.3240714,-68.2956013,1552,2740046,"false","https://www.inaturalist.org/observations/132150350","https://inaturalist-open-data.s3.amazonaws.com/photos/224999787/medium.jpeg"
"23","Lobaria pulmonaria","tree lungwort","Fungi","2022-08-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3131909,-68.2874747997,NA,16276,"false","https://www.inaturalist.org/observations/131772657","https://inaturalist-open-data.s3.amazonaws.com/photos/224296510/medium.jpeg"
