scientific.name,common.name,iconic.taxon.name,observed.on,place.guess,latitude,longitude,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url
Larus argentatus,herring gull,Aves,2022-09-12,NA,44.3403019,-68.0582428,NA,NA,NA,NA,https://ebird.org/checklist/S118560604,NA
Larus argentatus,herring gull,Aves,2022-09-12,NA,44.3002228,-68.3505289,NA,NA,NA,NA,https://ebird.org/checklist/S118560737,NA
Larus argentatus,herring gull,Aves,2022-09-12,NA,44.3080944,-68.3550911,NA,NA,NA,NA,https://ebird.org/checklist/S118561619,NA
Larus argentatus,herring gull,Aves,2022-09-12,NA,44.3534831,-68.2260418,NA,NA,NA,NA,https://ebird.org/checklist/S118557302,NA
Larus argentatus,herring gull,Aves,2022-09-12,NA,44.2316668,-68.3256161,NA,NA,NA,NA,https://ebird.org/checklist/S118558486,NA
Larus argentatus,herring gull,Aves,2022-09-11,NA,44.3297579,-68.184886,NA,NA,NA,NA,https://ebird.org/checklist/S118527643,NA
Larus argentatus,herring gull,Aves,2022-09-11,NA,44.3072668,-68.1901217,NA,NA,NA,NA,https://ebird.org/checklist/S118508456,NA
Larus argentatus,herring gull,Aves,2022-09-11,NA,44.3766313,-68.2511902,NA,NA,NA,NA,https://ebird.org/checklist/S118520221,NA
Larus argentatus,herring gull,Aves,2022-09-10,NA,44.233752,-68.3198708,NA,NA,NA,NA,https://ebird.org/checklist/S118461873,NA
Larus argentatus,herring gull,Aves,2022-09-10,NA,44.3242409,-68.2499805,NA,NA,NA,NA,https://ebird.org/checklist/S118455897,NA
Larus argentatus,herring gull,Aves,2022-09-10,NA,44.3023735,-68.3142483,NA,NA,NA,NA,https://ebird.org/checklist/S118559269,NA
Larus argentatus,herring gull,Aves,2022-09-10,NA,44.3669684,-68.2070087,NA,NA,NA,NA,https://ebird.org/checklist/S118436239,NA
Larus argentatus,herring gull,Aves,2022-09-09,NA,44.375481,-68.1922996,NA,NA,NA,NA,https://ebird.org/checklist/S118436259,NA
Larus argentatus,herring gull,Aves,2022-09-09,NA,44.302702,-68.202841,NA,NA,NA,NA,https://ebird.org/checklist/S118467328,NA
Larus argentatus,herring gull,Aves,2022-09-09,NA,44.3386398,-68.0454782,NA,NA,NA,NA,https://ebird.org/checklist/S118393122,NA
Larus argentatus,herring gull,Aves,2022-09-09,NA,44.320651,-68.1887506,NA,NA,NA,NA,https://ebird.org/checklist/S118380056,NA
Larus argentatus,herring gull,Aves,2022-09-08,NA,44.3231322,-68.1873536,NA,NA,NA,NA,https://ebird.org/checklist/S118349617,NA
Larus argentatus,herring gull,Aves,2022-09-08,NA,44.3985285,-68.2063437,NA,NA,NA,NA,https://ebird.org/checklist/S118339264,NA
Larus argentatus,herring gull,Aves,2022-09-08,NA,44.4084752,-68.2463949,NA,NA,NA,NA,https://ebird.org/checklist/S118350994,NA
Larus argentatus,herring gull,Aves,2022-09-08,NA,44.302136,-68.203222,NA,NA,NA,NA,https://ebird.org/checklist/S118331696,NA
Larus argentatus,herring gull,Aves,2022-09-08,NA,44.2426166,-68.299427,NA,NA,NA,NA,https://ebird.org/checklist/S118324477,NA
Larus argentatus,herring gull,Aves,2022-09-07,NA,44.3207266,-68.1896245,NA,NA,NA,NA,https://ebird.org/checklist/S118324076,NA
