"","scientific.name","common.name","iconic.taxon.name","observed.on","place.guess","latitude","longitude","positional.accuracy","user.id","captive.cultivated","url","image.url"
"56","Carcinus maenas","european green crab","Animalia","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3406633333,-68.0653,7,255732,"false","https://www.inaturalist.org/observations/131592326","https://inaturalist-open-data.s3.amazonaws.com/photos/223962579/medium.jpg"
"57","Fucus vesiculosus","bladder wrack","Chromista","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3407283333,-68.0654971667,23,255732,"false","https://www.inaturalist.org/observations/131592202","https://inaturalist-open-data.s3.amazonaws.com/photos/223962324/medium.jpg"
"58","Camponotus herculeanus","hercules ant","Insecta","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3403166667,-68.0655666667,4,255732,"false","https://www.inaturalist.org/observations/131591990","https://inaturalist-open-data.s3.amazonaws.com/photos/223961919/medium.jpg"
"59","Onoclea sensibilis","sensitive fern","Plantae","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3401666667,-68.0640028333,21,255732,"false","https://www.inaturalist.org/observations/131591760","https://inaturalist-open-data.s3.amazonaws.com/photos/223961469/medium.jpg"
"60","Lysimachia borealis","northern starflower","Plantae","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.34013,-68.0636055,13,255732,"false","https://www.inaturalist.org/observations/131591629","https://inaturalist-open-data.s3.amazonaws.com/photos/223961324/medium.jpg"
"61","Cornus canadensis","canadian bunchberry","Plantae","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3402283333,-68.0622416667,10,255732,"false","https://www.inaturalist.org/observations/131591486","https://inaturalist-open-data.s3.amazonaws.com/photos/223961075/medium.jpg"
"62","Ilex mucronata","mountain holly","Plantae","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3369257026,-68.065185478,4,6015567,"false","https://www.inaturalist.org/observations/131590333","https://inaturalist-open-data.s3.amazonaws.com/photos/223959087/medium.jpg"
"63","Cornus canadensis","canadian bunchberry","Plantae","2022-08-20","Acadia National Park, Hancock County, US-ME, US",44.3366690061,-68.0632610987,46,6045673,"false","https://www.inaturalist.org/observations/131589698","https://static.inaturalist.org/photos/223963997/medium.jpg"
"64","Aralia nudicaulis","wild sarsaparilla","Plantae","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3367255726,-68.0648461546,4,6015567,"false","https://www.inaturalist.org/observations/131589592","https://inaturalist-open-data.s3.amazonaws.com/photos/223957852/medium.jpg"
"65","Strymon melinus","gray hairstreak","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3351496199,-68.0589811401,11,5766163,"false","https://www.inaturalist.org/observations/131588613","https://inaturalist-open-data.s3.amazonaws.com/photos/223955730/medium.jpg"
"66","Danaus plexippus","monarch","Insecta","2022-08-20","Acadia National Park, Birch Harbor, ME, US",44.3361643036,-68.0592739139,35,5766163,"false","https://www.inaturalist.org/observations/131587485","https://inaturalist-open-data.s3.amazonaws.com/photos/223953904/medium.jpg"
